,Days Since 100 Cases,Doubles in N Days,Reference Cases
0,0,Doubles in 2 Days,100.0
1,1,Doubles in 2 Days,141.4213562373095
2,2,Doubles in 2 Days,200.00000000000003
3,3,Doubles in 2 Days,282.8427124746191
4,4,Doubles in 2 Days,400.0000000000001
5,5,Doubles in 2 Days,565.6854249492383
6,6,Doubles in 2 Days,800.0000000000005
7,7,Doubles in 2 Days,1131.3708498984768
8,8,Doubles in 2 Days,1600.0000000000011
9,9,Doubles in 2 Days,2262.741699796954
10,10,Doubles in 2 Days,3200.0000000000027
11,11,Doubles in 2 Days,4525.483399593908
12,12,Doubles in 2 Days,6400.0000000000055
13,13,Doubles in 2 Days,9050.966799187816
14,14,Doubles in 2 Days,12800.000000000011
15,15,Doubles in 2 Days,18101.933598375632
16,16,Doubles in 2 Days,25600.000000000022
17,17,Doubles in 2 Days,36203.867196751264
18,18,Doubles in 2 Days,51200.000000000044
19,19,Doubles in 2 Days,72407.73439350253
20,20,Doubles in 2 Days,102400.00000000009
21,21,Doubles in 2 Days,144815.46878700505
22,22,Doubles in 2 Days,204800.00000000017
23,23,Doubles in 2 Days,289630.9375740101
24,24,Doubles in 2 Days,409600.00000000035
25,25,Doubles in 2 Days,579261.8751480202
26,26,Doubles in 2 Days,819200.0000000007
27,27,Doubles in 2 Days,1158523.7502960404
28,28,Doubles in 2 Days,1638400.0000000014
29,29,Doubles in 2 Days,2317047.500592081
30,30,Doubles in 2 Days,3276800.000000003
31,31,Doubles in 2 Days,4634095.001184162
32,32,Doubles in 2 Days,6553600.000000006
33,33,Doubles in 2 Days,9268190.002368324
34,34,Doubles in 2 Days,13107200.000000011
35,35,Doubles in 2 Days,18536380.004736647
36,36,Doubles in 2 Days,26214400.000000022
37,37,Doubles in 2 Days,37072760.009473294
38,38,Doubles in 2 Days,52428800.000000045
39,39,Doubles in 2 Days,74145520.01894659
40,40,Doubles in 2 Days,104857600.00000009
41,41,Doubles in 2 Days,148291040.03789318
42,42,Doubles in 2 Days,209715200.00000018
43,43,Doubles in 2 Days,296582080.07578635
44,44,Doubles in 2 Days,419430400.00000036
45,45,Doubles in 2 Days,593164160.1515727
46,46,Doubles in 2 Days,838860800.0000007
47,47,Doubles in 2 Days,1186328320.3031454
48,48,Doubles in 2 Days,1677721600.0000014
49,49,Doubles in 2 Days,2372656640.606291
50,50,Doubles in 2 Days,3355443200.000003
51,51,Doubles in 2 Days,4745313281.212582
52,52,Doubles in 2 Days,6710886400.000006
53,53,Doubles in 2 Days,9490626562.425163
54,54,Doubles in 2 Days,13421772800.000011
55,55,Doubles in 2 Days,18981253124.850327
56,56,Doubles in 2 Days,26843545600.000023
57,57,Doubles in 2 Days,37962506249.70065
58,58,Doubles in 2 Days,53687091200.000046
59,59,Doubles in 2 Days,75925012499.4013
60,60,Doubles in 2 Days,107374182400.00009
61,61,Doubles in 2 Days,151850024998.8026
62,62,Doubles in 2 Days,214748364800.00018
63,63,Doubles in 2 Days,303700049997.6052
64,64,Doubles in 2 Days,429496729600.00037
65,65,Doubles in 2 Days,607400099995.2104
66,66,Doubles in 2 Days,858993459200.0007
67,67,Doubles in 2 Days,1214800199990.421
68,68,Doubles in 2 Days,1717986918400.0015
69,69,Doubles in 2 Days,2429600399980.842
70,70,Doubles in 2 Days,3435973836800.003
71,71,Doubles in 2 Days,4859200799961.684
72,72,Doubles in 2 Days,6871947673600.006
73,73,Doubles in 2 Days,9718401599923.367
74,74,Doubles in 2 Days,13743895347200.012
75,75,Doubles in 2 Days,19436803199846.734
76,76,Doubles in 2 Days,27487790694400.023
77,77,Doubles in 2 Days,38873606399693.47
78,78,Doubles in 2 Days,54975581388800.05
79,79,Doubles in 2 Days,77747212799386.94
80,0,Doubles in 3 Days,100.0
81,1,Doubles in 3 Days,125.99210498948732
82,2,Doubles in 3 Days,158.74010519681994
83,3,Doubles in 3 Days,200.0
84,4,Doubles in 3 Days,251.98420997897463
85,5,Doubles in 3 Days,317.4802103936399
86,6,Doubles in 3 Days,400.0
87,7,Doubles in 3 Days,503.96841995794927
88,8,Doubles in 3 Days,634.9604207872798
89,9,Doubles in 3 Days,800.0
90,10,Doubles in 3 Days,1007.9368399158985
91,11,Doubles in 3 Days,1269.9208415745595
92,12,Doubles in 3 Days,1600.0
93,13,Doubles in 3 Days,2015.873679831797
94,14,Doubles in 3 Days,2539.841683149119
95,15,Doubles in 3 Days,3200.0
96,16,Doubles in 3 Days,4031.747359663594
97,17,Doubles in 3 Days,5079.683366298238
98,18,Doubles in 3 Days,6400.0
99,19,Doubles in 3 Days,8063.494719327188
100,20,Doubles in 3 Days,10159.366732596476
101,21,Doubles in 3 Days,12800.0
102,22,Doubles in 3 Days,16126.989438654376
103,23,Doubles in 3 Days,20318.733465192952
104,24,Doubles in 3 Days,25600.0
105,25,Doubles in 3 Days,32253.978877308753
106,26,Doubles in 3 Days,40637.466930385905
107,27,Doubles in 3 Days,51200.0
108,28,Doubles in 3 Days,64507.957754617506
109,29,Doubles in 3 Days,81274.93386077181
110,30,Doubles in 3 Days,102400.0
111,31,Doubles in 3 Days,129015.91550923501
112,32,Doubles in 3 Days,162549.86772154362
113,33,Doubles in 3 Days,204800.0
114,34,Doubles in 3 Days,258031.83101847002
115,35,Doubles in 3 Days,325099.73544308724
116,36,Doubles in 3 Days,409600.0
117,37,Doubles in 3 Days,516063.66203694005
118,38,Doubles in 3 Days,650199.4708861745
119,39,Doubles in 3 Days,819200.0
120,40,Doubles in 3 Days,1032127.3240738801
121,41,Doubles in 3 Days,1300398.941772349
122,42,Doubles in 3 Days,1638400.0
123,43,Doubles in 3 Days,2064254.6481477602
124,44,Doubles in 3 Days,2600797.883544698
125,45,Doubles in 3 Days,3276800.0
126,46,Doubles in 3 Days,4128509.2962955204
127,47,Doubles in 3 Days,5201595.767089396
128,48,Doubles in 3 Days,6553600.0
129,49,Doubles in 3 Days,8257018.592591041
130,50,Doubles in 3 Days,10403191.534178792
131,51,Doubles in 3 Days,13107200.0
132,52,Doubles in 3 Days,16514037.185182082
133,53,Doubles in 3 Days,20806383.068357583
134,54,Doubles in 3 Days,26214400.0
135,55,Doubles in 3 Days,33028074.370364163
136,56,Doubles in 3 Days,41612766.136715166
137,57,Doubles in 3 Days,52428800.0
138,58,Doubles in 3 Days,66056148.740728326
139,59,Doubles in 3 Days,83225532.27343033
140,60,Doubles in 3 Days,104857600.0
141,61,Doubles in 3 Days,132112297.48145665
142,62,Doubles in 3 Days,166451064.54686067
143,63,Doubles in 3 Days,209715200.0
144,64,Doubles in 3 Days,264224594.9629133
145,65,Doubles in 3 Days,332902129.09372133
146,66,Doubles in 3 Days,419430400.0
147,67,Doubles in 3 Days,528449189.9258266
148,68,Doubles in 3 Days,665804258.1874427
149,69,Doubles in 3 Days,838860800.0
150,70,Doubles in 3 Days,1056898379.8516532
151,71,Doubles in 3 Days,1331608516.3748853
152,72,Doubles in 3 Days,1677721600.0
153,73,Doubles in 3 Days,2113796759.7033064
154,74,Doubles in 3 Days,2663217032.7497706
155,75,Doubles in 3 Days,3355443200.0
156,76,Doubles in 3 Days,4227593519.406613
157,77,Doubles in 3 Days,5326434065.499541
158,78,Doubles in 3 Days,6710886400.0
159,79,Doubles in 3 Days,8455187038.813226
160,0,Doubles in 4 Days,100.0
161,1,Doubles in 4 Days,118.9207115002721
162,2,Doubles in 4 Days,141.4213562373095
163,3,Doubles in 4 Days,168.1792830507429
164,4,Doubles in 4 Days,199.99999999999997
165,5,Doubles in 4 Days,237.84142300054418
166,6,Doubles in 4 Days,282.84271247461896
167,7,Doubles in 4 Days,336.35856610148574
168,8,Doubles in 4 Days,399.9999999999999
169,9,Doubles in 4 Days,475.68284600108825
170,10,Doubles in 4 Days,565.6854249492378
171,11,Doubles in 4 Days,672.7171322029714
172,12,Doubles in 4 Days,799.9999999999997
173,13,Doubles in 4 Days,951.3656920021764
174,14,Doubles in 4 Days,1131.3708498984754
175,15,Doubles in 4 Days,1345.4342644059425
176,16,Doubles in 4 Days,1599.999999999999
177,17,Doubles in 4 Days,1902.7313840043525
178,18,Doubles in 4 Days,2262.741699796951
179,19,Doubles in 4 Days,2690.868528811885
180,20,Doubles in 4 Days,3199.999999999998
181,21,Doubles in 4 Days,3805.462768008705
182,22,Doubles in 4 Days,4525.483399593902
183,23,Doubles in 4 Days,5381.73705762377
184,24,Doubles in 4 Days,6399.999999999996
185,25,Doubles in 4 Days,7610.92553601741
186,26,Doubles in 4 Days,9050.966799187803
187,27,Doubles in 4 Days,10763.47411524754
188,28,Doubles in 4 Days,12799.999999999993
189,29,Doubles in 4 Days,15221.85107203482
190,30,Doubles in 4 Days,18101.933598375606
191,31,Doubles in 4 Days,21526.94823049508
192,32,Doubles in 4 Days,25599.999999999985
193,33,Doubles in 4 Days,30443.70214406964
194,34,Doubles in 4 Days,36203.86719675121
195,35,Doubles in 4 Days,43053.89646099016
196,36,Doubles in 4 Days,51199.99999999997
197,37,Doubles in 4 Days,60887.40428813928
198,38,Doubles in 4 Days,72407.73439350243
199,39,Doubles in 4 Days,86107.79292198032
200,40,Doubles in 4 Days,102399.99999999994
201,41,Doubles in 4 Days,121774.80857627856
202,42,Doubles in 4 Days,144815.46878700485
203,43,Doubles in 4 Days,172215.58584396064
204,44,Doubles in 4 Days,204799.99999999988
205,45,Doubles in 4 Days,243549.61715255713
206,46,Doubles in 4 Days,289630.9375740097
207,47,Doubles in 4 Days,344431.1716879213
208,48,Doubles in 4 Days,409599.99999999977
209,49,Doubles in 4 Days,487099.23430511425
210,50,Doubles in 4 Days,579261.8751480194
211,51,Doubles in 4 Days,688862.3433758426
212,52,Doubles in 4 Days,819199.9999999995
213,53,Doubles in 4 Days,974198.4686102285
214,54,Doubles in 4 Days,1158523.7502960388
215,55,Doubles in 4 Days,1377724.686751685
216,56,Doubles in 4 Days,1638399.999999999
217,57,Doubles in 4 Days,1948396.937220457
218,58,Doubles in 4 Days,2317047.5005920776
219,59,Doubles in 4 Days,2755449.37350337
220,60,Doubles in 4 Days,3276799.999999998
221,61,Doubles in 4 Days,3896793.874440914
222,62,Doubles in 4 Days,4634095.001184155
223,63,Doubles in 4 Days,5510898.74700674
224,64,Doubles in 4 Days,6553599.999999996
225,65,Doubles in 4 Days,7793587.748881828
226,66,Doubles in 4 Days,9268190.00236831
227,67,Doubles in 4 Days,11021797.49401348
228,68,Doubles in 4 Days,13107199.999999993
229,69,Doubles in 4 Days,15587175.497763656
230,70,Doubles in 4 Days,18536380.00473662
231,71,Doubles in 4 Days,22043594.98802696
232,72,Doubles in 4 Days,26214399.999999985
233,73,Doubles in 4 Days,31174350.995527312
234,74,Doubles in 4 Days,37072760.00947324
235,75,Doubles in 4 Days,44087189.97605392
236,76,Doubles in 4 Days,52428799.99999997
237,77,Doubles in 4 Days,62348701.991054624
238,78,Doubles in 4 Days,74145520.01894648
239,79,Doubles in 4 Days,88174379.95210785
240,0,Doubles in 5 Days,100.0
241,1,Doubles in 5 Days,114.86983549970351
242,2,Doubles in 5 Days,131.95079107728944
243,3,Doubles in 5 Days,151.57165665103983
244,4,Doubles in 5 Days,174.11011265922488
245,5,Doubles in 5 Days,200.00000000000009
246,6,Doubles in 5 Days,229.7396709994071
247,7,Doubles in 5 Days,263.901582154579
248,8,Doubles in 5 Days,303.1433133020798
249,9,Doubles in 5 Days,348.2202253184499
250,10,Doubles in 5 Days,400.0000000000003
251,11,Doubles in 5 Days,459.4793419988144
252,12,Doubles in 5 Days,527.8031643091582
253,13,Doubles in 5 Days,606.2866266041599
254,14,Doubles in 5 Days,696.4404506369001
255,15,Doubles in 5 Days,800.0000000000009
256,16,Doubles in 5 Days,918.9586839976291
257,17,Doubles in 5 Days,1055.6063286183169
258,18,Doubles in 5 Days,1212.5732532083202
259,19,Doubles in 5 Days,1392.8809012738009
260,20,Doubles in 5 Days,1600.0000000000027
261,21,Doubles in 5 Days,1837.9173679952594
262,22,Doubles in 5 Days,2111.2126572366346
263,23,Doubles in 5 Days,2425.1465064166414
264,24,Doubles in 5 Days,2785.7618025476027
265,25,Doubles in 5 Days,3200.0000000000064
266,26,Doubles in 5 Days,3675.8347359905197
267,27,Doubles in 5 Days,4222.425314473271
268,28,Doubles in 5 Days,4850.2930128332855
269,29,Doubles in 5 Days,5571.523605095208
270,30,Doubles in 5 Days,6400.000000000016
271,31,Doubles in 5 Days,7351.669471981043
272,32,Doubles in 5 Days,8444.850628946546
273,33,Doubles in 5 Days,9700.586025666575
274,34,Doubles in 5 Days,11143.047210190422
275,35,Doubles in 5 Days,12800.000000000038
276,36,Doubles in 5 Days,14703.338943962093
277,37,Doubles in 5 Days,16889.7012578931
278,38,Doubles in 5 Days,19401.172051333157
279,39,Doubles in 5 Days,22286.09442038085
280,40,Doubles in 5 Days,25600.000000000084
281,41,Doubles in 5 Days,29406.677887924194
282,42,Doubles in 5 Days,33779.402515786205
283,43,Doubles in 5 Days,38802.34410266632
284,44,Doubles in 5 Days,44572.18884076171
285,45,Doubles in 5 Days,51200.00000000018
286,46,Doubles in 5 Days,58813.35577584841
287,47,Doubles in 5 Days,67558.80503157244
288,48,Doubles in 5 Days,77604.68820533268
289,49,Doubles in 5 Days,89144.37768152346
290,50,Doubles in 5 Days,102400.00000000041
291,51,Doubles in 5 Days,117626.71155169686
292,52,Doubles in 5 Days,135117.61006314494
293,53,Doubles in 5 Days,155209.37641066543
294,54,Doubles in 5 Days,178288.755363047
295,55,Doubles in 5 Days,204800.0000000009
296,56,Doubles in 5 Days,235253.4231033938
297,57,Doubles in 5 Days,270235.22012629
298,58,Doubles in 5 Days,310418.75282133097
299,59,Doubles in 5 Days,356577.51072609413
300,60,Doubles in 5 Days,409600.000000002
301,61,Doubles in 5 Days,470506.84620678786
302,62,Doubles in 5 Days,540470.4402525802
303,63,Doubles in 5 Days,620837.5056426623
304,64,Doubles in 5 Days,713155.0214521887
305,65,Doubles in 5 Days,819200.0000000044
306,66,Doubles in 5 Days,941013.6924135762
307,67,Doubles in 5 Days,1080940.880505161
308,68,Doubles in 5 Days,1241675.011285325
309,69,Doubles in 5 Days,1426310.042904378
310,70,Doubles in 5 Days,1638400.0000000095
311,71,Doubles in 5 Days,1882027.3848271533
312,72,Doubles in 5 Days,2161881.7610103227
313,73,Doubles in 5 Days,2483350.022570651
314,74,Doubles in 5 Days,2852620.0858087568
315,75,Doubles in 5 Days,3276800.00000002
316,76,Doubles in 5 Days,3764054.7696543075
317,77,Doubles in 5 Days,4323763.522020647
318,78,Doubles in 5 Days,4966700.045141304
319,79,Doubles in 5 Days,5705240.171617515
320,0,Doubles in 6 Days,100.0
321,1,Doubles in 6 Days,112.2462048309373
322,2,Doubles in 6 Days,125.99210498948733
323,3,Doubles in 6 Days,141.42135623730954
324,4,Doubles in 6 Days,158.74010519682
325,5,Doubles in 6 Days,178.1797436280679
326,6,Doubles in 6 Days,200.00000000000006
327,7,Doubles in 6 Days,224.49240966187466
328,8,Doubles in 6 Days,251.98420997897472
329,9,Doubles in 6 Days,282.84271247461913
330,10,Doubles in 6 Days,317.48021039364005
331,11,Doubles in 6 Days,356.35948725613594
332,12,Doubles in 6 Days,400.0000000000002
333,13,Doubles in 6 Days,448.98481932374943
334,14,Doubles in 6 Days,503.96841995794955
335,15,Doubles in 6 Days,565.6854249492384
336,16,Doubles in 6 Days,634.9604207872802
337,17,Doubles in 6 Days,712.718974512272
338,18,Doubles in 6 Days,800.0000000000007
339,19,Doubles in 6 Days,897.9696386474992
340,20,Doubles in 6 Days,1007.9368399158994
341,21,Doubles in 6 Days,1131.370849898477
342,22,Doubles in 6 Days,1269.9208415745607
343,23,Doubles in 6 Days,1425.4379490245442
344,24,Doubles in 6 Days,1600.0000000000016
345,25,Doubles in 6 Days,1795.9392772949986
346,26,Doubles in 6 Days,2015.8736798317993
347,27,Doubles in 6 Days,2262.741699796955
348,28,Doubles in 6 Days,2539.841683149122
349,29,Doubles in 6 Days,2850.8758980490893
350,30,Doubles in 6 Days,3200.000000000004
351,31,Doubles in 6 Days,3591.878554589998
352,32,Doubles in 6 Days,4031.7473596635996
353,33,Doubles in 6 Days,4525.483399593911
354,34,Doubles in 6 Days,5079.683366298246
355,35,Doubles in 6 Days,5701.75179609818
356,36,Doubles in 6 Days,6400.00000000001
357,37,Doubles in 6 Days,7183.757109179998
358,38,Doubles in 6 Days,8063.494719327201
359,39,Doubles in 6 Days,9050.966799187823
360,40,Doubles in 6 Days,10159.366732596494
361,41,Doubles in 6 Days,11403.503592196363
362,42,Doubles in 6 Days,12800.000000000022
363,43,Doubles in 6 Days,14367.514218359998
